Year-Quarter,Day,Date,City,State,"City, ST",Country,Commodity,Value,Type of Loss,Location,Additional Information,Recovery?,Time,General Category
2020-Q1,Sunday,1/26/20,Ellenwood,GA,"Ellenwood, GA",USA,Mixed goods,,Seal break,Carrier yard/parking,No additional details,No loss,,Mixed cargo
2020-Q1,Monday,1/27/20,Medley,FL,"Medley, FL",USA,Beef,123900,Cargo theft,Roadside,No additional details,,Evening,Food & Drinks
2020-Q1,Monday,1/27/20,Ocala,FL,"Ocala, FL",USA,Mixed goods,,Seal break,Truck stop/Gas station,NW 47th St,No loss,,Mixed cargo
2020-Q1,Wednesday,1/29/20,Max Meadows,VA,"Max Meadows, VA",USA,Mixed goods,,Seal break,Truck stop/Gas station,Major Graham Rd,No loss,,Mixed cargo
2020-Q1,Wednesday,1/29/20,Alexandria,LA,"Alexandria, LA",USA,Pharma,10000,Pilferage,Parking lot,No additional details,,Morning,Pharma & Medical supplies
2020-Q1,Thursday,1/30/20,Fontana,CA,"Fontana, CA",USA,Consumer electronics,529518,Cargo theft,Origin/DC,Fictitious pickup,,Afternoon,Consumer electronics
2020-Q1,Wednesday,1/31/20,Fontana,CA,"Fontana, CA",USA,Diapers,81803,Cargo theft,Secure yard,No additional details,,Evening,"Cleaning, Plastic, & Paper"
2020-Q1,Wednesday,1/31/20,San Bernardino,CA,"San Bernardino, CA",USA,Washers,66827,Cargo theft,Origin/DC,Fictitious pickup,,,Household & Appliances
2020-Q1,Friday,1/31/20,Lexington,NC,"Lexington, NC",USA,Mixed goods,,Seal break,Carrier yard/parking,No additional details,No loss,Early AM,Mixed cargo
2020-Q1,Saturday,2/1/20,Prattville,AL,"Prattville, AL",USA,Lawn mowers,73000,Cargo theft,Parking lot,No additional details,,Early AM,"Animal, Farm, & Equipment"
2020-Q1,Saturday,2/1/20,Grantvile,PA,"Grantvile, PA",USA,Canola oil,50000,Cargo theft,Carrier yard/parking,No additional details,,Overnight,Food & Drinks
2020-Q1,Saturday,2/1/20,Bolingbrook,IL,"Bolingbrook, IL",USA,Mixed goods,,Seal break,Truck stop/Gas station,I-55,No loss,,Mixed cargo
2020-Q1,Sunday,2/2/20,Kansas City,MO,"Kansas City, MO",USA,Safety shoes,75000,Cargo theft,Drop lot,No additional details,,,Apparel
2020-Q1,Sunday,2/2/20,Addison,IL,"Addison, IL",USA,Forklifts,19000,Cargo theft,Carrier yard/parking,No additional details,,,Construction & Industrial goods
2020-Q1,Sunday,2/2/20,Dallas,TX,"Dallas, TX",USA,Steel rebar,15000,Cargo theft,Unsecured location,No additional details,Recovered,,Metals
2020-Q1,Sunday,2/2/20,Baxter,TN,"Baxter, TN",USA,Mixed goods,,Seal break,Truck stop/Gas station,Fast Lane,No loss,,Mixed cargo
2020-Q1,Sunday,2/2/20,Corbin,KY,"Corbin, KY",USA,Mixed goods,,Seal break,Truck stop/Gas station,KY 770,No loss,Morning,Mixed cargo
2020-Q1,Monday,2/3/20,Marianna,FL,"Marianna, FL",USA,Mixed goods,500,Pilferage,Origin/DC,No additional details,,,Mixed cargo
2020-Q1,Wednesday,2/5/20,Avenel,NJ,"Avenel, NJ",USA,Soft drinks,12370,Cargo theft,Roadside,No additional details,,Early AM,Food & Drinks
2020-Q1,Wednesday,2/5/20,Louisville,KY,"Louisville, KY",USA,Mixed goods,,Seal break,Parking lot,No additional details,No loss,Early AM,Mixed cargo
2020-Q1,Thursday,2/6/20,Austell,GA,"Austell, GA",USA,Apparel,2500,Pilferage,Roadside,No additional details,,,Apparel
2020-Q1,Friday,2/7/20,Jackson,MS,"Jackson, MS",USA,Mixed goods,,Seal break,Truck stop/Gas station,I-20 Frontage Rd,No loss,Overnight,Mixed cargo
2020-Q1,Saturday,2/8/20,Dacula,GA,"Dacula, GA",USA,Wood chippers,25000,Cargo theft,Carrier yard/parking,No additional details,,,"Animal, Farm, & Equipment"
2020-Q1,Saturday,2/8/20,Jurupa Valley,CA,"Jurupa Valley, CA",USA,Shavers,100000,Cargo theft,Parking lot,No additional details,,,Beauty & Personal Care
2020-Q1,Saturday,2/8/20,Jacksonville,FL,"Jacksonville, FL",USA,Food products,30000,Cargo theft,Secure yard,No additional details,,Overnight,Food & Drinks
2020-Q1,Saturday,2/8/20,Jasper,TN,"Jasper, TN",USA,Mixed goods,,Seal break,Truck stop/Gas station,TVA Rd,No loss,,Mixed cargo
2020-Q1,Saturday,2/8/20,Moreno Valley,CA,"Moreno Valley, CA",USA,OTC Meds,131556,Cargo theft,Roadside,No additional details,,Overnight,Pharma & Medical supplies
2020-Q1,Sunday,2/9/20,Memphis,TN,"Memphis, TN",USA,Batteries,10000,Pilferage,Roadside,No additional details,,Overnight,Automobile & Parts
2020-Q1,Sunday,2/9/20,Temple,GA,"Temple, GA",USA,Tires,300,Pilferage,Truck stop/Gas station,Carrollton St,,Early AM,Automobile & Parts
2020-Q1,Sunday,2/9/20,Loudon,TN,"Loudon, TN",USA,Mixed goods,,Seal break,Carrier yard/parking,No additional details,No loss,,Mixed cargo
2020-Q1,Monday,2/10/20,Irving,TX,"Irving, TX",USA,Mixed goods,,Seal break,Carrier yard/parking,No additional details,No loss,,Mixed cargo
2020-Q1,Monday,2/10/20,Oklahoma City,OK,"Oklahoma City, OK",USA,Mixed goods,,Seal break,Carrier yard/parking,No additional details,No loss,,Mixed cargo
2020-Q1,Tuesday,2/11/20,Ft Worth,TX,"Ft Worth, TX",USA,Forklifts,92941,Cargo theft,Origin/DC,Fictitious pickup,,,Construction & Industrial goods
2020-Q1,Tuesday,2/11/20,Mesquite,TX,"Mesquite, TX",USA,Soft drinks,4495,Cargo theft,Origin/DC,Fictitious pickup,,,Food & Drinks
2020-Q1,Tuesday,2/11/20,Miami,FL,"Miami, FL",USA,Appliances,30000,Cargo theft,WH yard/parking,No additional details,,,Household & Appliances
2020-Q1,Tuesday,2/11/20,Fort Wayne,IN,"Fort Wayne, IN",USA,Copper,240000,Cargo theft,Unspecified,Driver theft,Recovered,,Metals
