Year-Quarter,Day,Date,City,State,"City, ST",Country,Commodity,Value,Type of Loss,Location,Additional Information,Recovery?,Time,General Category
2020-Q2,Sunday,5/24/20,Surrey,BC,"Surrey, BC",CAN,Toilet paper,120000,Cargo theft,Unsecured location,No additional details,,,"Cleaning, Plastic, & Paper"
2020-Q2,Sunday,5/24/20,Paramus,NJ,"Paramus, NJ",USA,Olive oil,62041,Cargo theft,Unsecured location,No additional details,,,Food & Drinks
2020-Q2,Sunday,5/24/20,San Antonio,TX,"San Antonio, TX",USA,Soft drinks,1000,Pilferage,Drop lot,No additional details,,,Food & Drinks
2020-Q2,Sunday,5/24/20,Miami,FL,"Miami, FL",USA,Appliances,50000,Cargo theft,Parking lot,No additional details,,Early AM,Household & Appliances
2020-Q2,Monday,5/25/20,Doral,FL,"Doral, FL",USA,Personal care products,43070,Cargo theft,WH yard/parking,No additional details,,Evening,Beauty & Personal Care
2020-Q2,Monday,5/25/20,Jurupa Valley,CA,"Jurupa Valley, CA",USA,Soap,30000,Cargo theft,Roadside,No additional details,,Afternoon,Beauty & Personal Care
2020-Q2,Monday,5/25/20,Spartanburg,SC,"Spartanburg, SC",USA,Personal care products,1500,Pilferage,Parking lot,No additional details,,Overnight,Beauty & Personal Care
2020-Q2,Monday,5/25/20,Miami,FL,"Miami, FL",USA,Beef,45000,Cargo theft,Parking lot,No additional details,,Overnight,Food & Drinks
2020-Q2,Wednesday,5/27/20,Wasco,CA,"Wasco, CA",USA,Almonds,250000,Cargo theft,Unspecified,Fictitious pickup,,,Food & Drinks
2020-Q2,Thursday,5/28/20,Ft Worth,TX,"Ft Worth, TX",USA,Tires,60000,Cargo theft,Parking lot,No additional details,,Evening,Automobile & Parts
2020-Q2,Thursday,5/28/20,Wasco,CA,"Wasco, CA",USA,Almonds,250000,Cargo theft,Unspecified,Fictitious pickup,,,Food & Drinks
2020-Q2,Friday,5/29/20,Memphis,TN,"Memphis, TN",USA,Tires,6000,Pilferage,WH yard/parking,No additional details,,Overnight,Automobile & Parts
2020-Q2,Friday,5/29/20,Joliet,IL,"Joliet, IL",USA,Mixed goods,,Seal break,Truck stop/Gas station,E Laraway Rd,No loss,,Mixed cargo
2020-Q2,Friday,5/29/20,Minden,LA,"Minden, LA",USA,Mixed goods,,Seal break,Truck stop/Gas station,Industrial Dr,No loss,,Mixed cargo
2020-Q2,Saturday,5/30/20,N Las Vegas,NV,"N Las Vegas, NV",USA,Apparel,60000,Cargo theft,Parking lot,No additional details,,,Apparel
2020-Q2,Saturday,5/30/20,Marion,AR,"Marion, AR",USA,Tires,100000,Pilferage,Rail yard,No additional details,,,Automobile & Parts
2020-Q2,Saturday,5/30/20,Miami,FL,"Miami, FL",USA,Cereal,3000,Cargo theft,Parking lot,No additional details,,Afternoon,Food & Drinks
2020-Q2,Sunday,5/31/20,Mansfield,TX,"Mansfield, TX",USA,Toothpaste,40000,Cargo theft,Unspecified,Truck repair shop,,Early AM,Beauty & Personal Care
2020-Q2,Sunday,5/31/20,Memphis,TN,"Memphis, TN",USA,Televisions,10000,Cargo theft,Warehouse,No additional details,,Early AM,Consumer electronics
2020-Q2,Sunday,5/31/20,Memphis,TN,"Memphis, TN",USA,Televisions,10000,Cargo theft,Warehouse,No additional details,,,Consumer electronics
2020-Q2,Sunday,5/31/20,Miami,FL,"Miami, FL",USA,Orange juice,40000,Cargo theft,Roadside,No additional details,Partial,,Food & Drinks
2020-Q2,Sunday,5/31/20,Savannah,GA,"Savannah, GA",USA,Beef,1200,Pilferage,Parking lot,No additional details,,,Food & Drinks
2020-Q2,Sunday,5/31/20,Newark,NJ,"Newark, NJ",USA,Mixed goods,,Seal break,Drop lot,No additional details,No loss,,Mixed cargo
2020-Q2,Sunday,5/31/20,Toledo,OH,"Toledo, OH",USA,Mixed goods,,Seal break,Drop lot,No additional details,No loss,,Mixed cargo
2020-Q2,Tuesday,6/2/20,Burr Ridge,IL,"Burr Ridge, IL",USA,Tires,46750,Cargo theft,Secure yard,No additional details,,Overnight,Automobile & Parts
2020-Q2,Tuesday,6/2/20,Chicago,IL,"Chicago, IL",USA,Televisions,65000,Pilferage,Rail yard,No additional details,,,Consumer electronics
2020-Q2,Tuesday,6/2/20,Chicago,IL,"Chicago, IL",USA,Televisions,70000,Pilferage,Rail yard,No additional details,,,Consumer electronics
2020-Q2,Tuesday,6/2/20,Dallas,TX,"Dallas, TX",USA,Beef,1603,Cargo theft,Truck stop/Gas station,S Lancaster Rd,,,Food & Drinks
2020-Q2,Tuesday,6/2/20,Chicago,IL,"Chicago, IL",USA,Appliances,30000,Cargo theft,Roadside,No additional details,,Morning,Household & Appliances
2020-Q2,Wednesday,6/3/20,Bakersfield,CA,"Bakersfield, CA",USA,Dog food,2500,Pilferage,Unsecured location,No additional details,,Overnight,"Animal, Farm, & Equipment"
2020-Q2,Wednesday,6/3/20,Memphis,TN,"Memphis, TN",USA,Potato chips,200,Cargo theft,Roadside,No additional details,,Overnight,Food & Drinks
2020-Q2,Saturday,6/6/20,Santa Ana,CA,"Santa Ana, CA",USA,Disk drives,7500000,Cargo theft,Secure yard,No additional details,,Overnight,Consumer electronics
2020-Q2,Saturday,6/6/20,French Camp,CA,"French Camp, CA",USA,Mixed goods,2500,Cargo theft,Carrier yard/parking,No additional details,,,Mixed cargo
2020-Q2,Sunday,6/7/20,Memphis,TN,"Memphis, TN",USA,Motor oil,15000,Pilferage,Roadside,No additional details,,Early AM,Automobile & Parts
2020-Q2,Sunday,6/7/20,Mansfield,TX,"Mansfield, TX",USA,Toilet paper,50000,Cargo theft,Parking lot,No additional details,,Overnight,"Cleaning, Plastic, & Paper"
2020-Q2,Sunday,6/7/20,Chicago,IL,"Chicago, IL",USA,Consumer electronics,30000,Pilferage,Rail yard,No additional details,,Morning,Consumer electronics
2020-Q2,Sunday,6/7/20,Newark,NJ,"Newark, NJ",USA,Mixed goods,,Seal break,Drop lot,No additional details,No loss,,Mixed cargo
2020-Q2,Sunday,6/7/20,Hauppauge,NY,"Hauppauge, NY",USA,Vitamins,100000,Cargo theft,Secure yard,No additional details,,,Pharma & Medical supplies
2020-Q2,Monday,6/8/20,Dallas,TX,"Dallas, TX",USA,Energy drinks,2500,Pilferage,Truck stop/Gas station,S Lancaster Rd,,Evening,Food & Drinks
2020-Q2,Monday,6/8/20,Oakland,CA,"Oakland, CA",USA,Beef,3000,Pilferage,Roadside,No additional details,,Overnight,Food & Drinks
2020-Q2,Monday,6/8/20,Aiken,SC,"Aiken, SC",USA,Mixed goods,,Seal break,WH yard/parking,No additional details,No loss,Early AM,Mixed cargo
2020-Q2,Monday,6/8/20,Irving,TX,"Irving, TX",USA,Mixed goods,,Seal break,Carrier yard/parking,No additional details,No loss,,Mixed cargo
2020-Q2,Thursday,6/11/20,Fremont,CA,"Fremont, CA",USA,Hard drives,195285,Pilferage,Roadside,No additional details,,,Consumer electronics
2020-Q2,Thursday,6/11/20,Florida City,FL,"Florida City, FL",USA,Cereal,49787,Cargo theft,Parking lot,No additional details,Recovered,Early AM,Food & Drinks
2020-Q2,Friday,6/12/20,Miami,FL,"Miami, FL",USA,Pet food,20000,Cargo theft,Unsecured location,No additional details,,Overnight,"Animal, Farm, & Equipment"
2020-Q2,Friday,6/12/20,Memphis,TN,"Memphis, TN",USA,Stationary,100,Pilferage,Roadside,No additional details,,Overnight,Merchandise
2020-Q2,Saturday,6/13/20,Gary,IN,"Gary, IN",USA,Tires,25730,Cargo theft,Parking lot,No additional details,,Overnight,Automobile & Parts
2020-Q2,Saturday,6/13/20,Lockport,IL,"Lockport, IL",USA,Tires,40000,Cargo theft,Drop lot,No additional details,,Overnight,Automobile & Parts
2020-Q2,Saturday,6/13/20,Dallas,TX,"Dallas, TX",USA,Mixed goods,,Seal break,Truck stop/Gas station,S Lancaster Rd,No loss,Early AM,Mixed cargo
2020-Q2,Saturday,6/13/20,Scottsboro,AL,"Scottsboro, AL",USA,Mixed goods,,Seal break,Truck stop/Gas station,John T Reid Pkwy,No loss,,Mixed cargo
2020-Q2,Saturday,6/13/20,Long Beach,CA,"Long Beach, CA",USA,Face shields,50000,Cargo theft,Secure yard,No additional details,,,Pharma & Medical supplies
2020-Q2,Sunday,6/14/20,Gastonia,NC,"Gastonia, NC",USA,Energy drinks,100000,Cargo theft,Truck stop/Gas station,No additional details,,,Food & Drinks
2020-Q2,Monday,6/15/20,Bronx,NY,"Bronx, NY",USA,Bleach,20160,Cargo theft,Parking lot,No additional details,,Overnight,"Cleaning, Plastic, & Paper"
2020-Q2,Wednesday,6/15/20,Miami Beach,FL,"Miami Beach, FL",USA,Appliances,66580,Cargo theft,Marine terminal,No additional details,,Afternoon,Household & Appliances
2020-Q2,Tuesday,6/16/20,Carson,CA,"Carson, CA",USA,Wireless routers,20671,Pilferage,Roadside,No additional details,,Afternoon,Consumer electronics
2020-Q2,Tuesday,6/16/20,Memphis,TN,"Memphis, TN",USA,Water,400,Pilferage,Roadside,No additional details,,Overnight,Food & Drinks
2020-Q2,Wednesday,6/17/20,Lynwood,CA,"Lynwood, CA",USA,Shoes,100000,Cargo theft,Unsecured location,No additional details,,,Apparel
2020-Q2,Wednesday,6/17/20,Conley,GA,"Conley, GA",USA,Paper towels,3000,Pilferage,Drop lot,No additional details,,Overnight,"Cleaning, Plastic, & Paper"
2020-Q2,Wednesday,6/17/20,Dallas,TX,"Dallas, TX",USA,Air conditioner filters,,Seal break,Truck stop/Gas station,S Lancaster Rd,No loss,Morning,Household & Appliances
2020-Q2,Wednesday,6/17/20,Conley,GA,"Conley, GA",USA,Mixed goods,2500,Pilferage,Secure yard,No additional details,,Overnight,Mixed cargo
2020-Q2,Thursday,6/18/20,Lancaster,TX,"Lancaster, TX",USA,Food products,20468,Cargo theft,Unsecured location,No additional details,,,Food & Drinks
2020-Q2,Friday,6/19/20,Terrell,TX,"Terrell, TX",USA,Vacuums,50000,Cargo theft,Truck stop/Gas station,TX 34S,,,Household & Appliances
2020-Q2,Saturday,6/20/20,N Richland Hills,TX,"N Richland Hills, TX",USA,Televisions,135000,Cargo theft,Roadside,No additional details,,,Consumer electronics
2020-Q2,Saturday,6/20/20,Colton,CA,"Colton, CA",USA,Toys,25000,Cargo theft,Secure yard,No additional details,,,Merchandise
2020-Q2,Saturday,6/20/20,Dallas,TX,"Dallas, TX",USA,Aluminum scrap,100000,Cargo theft,Truck stop/Gas station,S Lancaster Rd,,,Metals
2020-Q2,Sunday,6/21/20,Irving,TX,"Irving, TX",USA,Beef,42000,Cargo theft,Carrier yard/parking,No additional details,,,Food & Drinks
2020-Q2,Sunday,6/21/20,Richmond,IN,"Richmond, IN",USA,Mixed goods,,Seal break,Truck stop/Gas station,US 35,No loss,,Mixed cargo
2020-Q2,Sunday,6/21/20,Arlington,TX,"Arlington, TX",USA,Ventilators,10000,Pilferage,Roadside,No additional details,,Overnight,Pharma & Medical supplies
2020-Q2,Monday,6/22/20,Cinamminson,NJ,"Cinamminson, NJ",USA,Televisions,50000,Cargo theft,Unsecured location,No additional details,,,Consumer electronics
2020-Q2,Monday,6/22/20,Naranja,FL,"Naranja, FL",USA,Cell Phones,400000,Cargo theft,Roadside,No additional details,,Early AM,Consumer electronics
2020-Q2,Tuesday,6/23/20,Dallas,TX,"Dallas, TX",USA,Household goods,1500,Pilferage,Truck stop/Gas station,S Lancaster Rd,,,Household & Appliances
2020-Q2,Tuesday,6/23/20,Detroit,MI,"Detroit, MI",USA,Mixed goods,2500,Pilferage,Parking lot,No additional details,,Early AM,Mixed cargo
2020-Q2,Wednesday,6/24/20,Denham Springs,LA,"Denham Springs, LA",USA,Scanners,,Seal break,Truck stop/Gas station,S Range Ave,No loss,Early AM,Consumer electronics
2020-Q2,Wednesday,6/24/20,Memphis,TN,"Memphis, TN",USA,Food products,3000,Cargo theft,WH yard/parking,No additional details,,Overnight,Food & Drinks
2020-Q2,Wednesday,6/24/20,Miami,FL,"Miami, FL",USA,Tequila,100000,Cargo theft,Unsecured location,No additional details,,Evening,Tobacco & Alcohol
2020-Q2,Thursday,6/25/20,Moreno Valley,CA,"Moreno Valley, CA",USA,Hot chocolate,45811,Cargo theft,Parking lot,No additional details,,Afternoon,Food & Drinks
2020-Q2,Friday,6/26/20,Hamilton,ON,"Hamilton, ON",CAN,Air conditioners,98000,Cargo theft,Carrier yard/parking,No additional details,,Overnight,Household & Appliances
2020-Q2,Friday,6/26/20,Springfield,OH,"Springfield, OH",USA,Mixed goods,,Seal break,Roadside,No additional details,No loss,,Mixed cargo
2020-Q2,Saturday,6/27/20,Bronx,NY,"Bronx, NY",USA,Corn oil,47693,Cargo theft,Roadside,No additional details,,Overnight,Food & Drinks
2020-Q2,Saturday,6/27/20,Dublin,GA,"Dublin, GA",USA,Mixed goods,5000,Pilferage,Truck stop/Gas station,Bouldercrest Rd,,Evening,Mixed cargo
2020-Q2,Sunday,6/28/20,E St Louis,MO,"E St Louis, MO",USA,Mixed goods,,Seal break,Carrier yard/parking,No additional details,No loss,,Mixed cargo
2020-Q2,Sunday,6/28/20,Winger Haven,FL,"Winger Haven, FL",USA,Hemp,135000,Cargo theft,Drop lot,No additional details,,,Pharma & Medical supplies
2020-Q2,Monday,6/29/20,Los Angeles,CA,"Los Angeles, CA",USA,Beverages,40000,Cargo theft,Secure yard,No additional details,,,Food & Drinks
2020-Q2,Monday,6/29/20,Memphis,TN,"Memphis, TN",USA,Alcoholic beverages,,Pilferage,secure yard,carriers second break in at location ,,Early AM,food & Drinks
2020-Q2,Tuesday,6/30/20,Lost Hills,CA,"Lost Hills, CA",USA,Pistaschios,100000,Cargo theft,Unspecified,Fictitious pickup,,,Food & Drinks
2020-Q2,Tuesday,6/30/20,Omaha,NE,"Omaha, NE",USA,Beef,100000,Cargo theft,Unspecified,Fictitious pickup,,,Food & Drinks
2020-Q2,Tuesday,6/30/20,Omaha,NE,"Omaha, NE",USA,Beef,100000,Cargo theft,Unspecified,Fictitious pickup,,,Food & Drinks
2020-Q3,Thursday,7/16/20,Matteson,IL,"Matteson, IL",USA,Automobiles,,Pilferage,Parking lot,No additional details,,Afternoon,Automobile & Parts
2020-Q3,Tuesday,7/21/20,Forest Park,IL,"Forest Park, IL",USA,Automobiles,,Cargo theft,Rail yard,W. Roosevelt Rd ,,,Automobile & Parts
2020-Q3,Thursday,7/21/20,Romeoville,IL,"Romeoville, IL",USA,Mixed goods,,Cargo theft,Unspecified,No additional details,,,Mixed cargo
2020-Q3,Wednesday,7/29/20,El Paso,TX,"El Paso, TX",USA,Assorted Copper,2000000,Cargo theft,Secure yard,897 Hawkins,no loss,,Metals
2020-Q3,Monday,8/3/20,,AZ,", AZ",USA,Computers/Laptops,,Pilferage,Truck stop/Gas station,No additional details,,,Consumer electronics
2020-Q3,Monday,8/3/20,,TN,", TN",USA,Miscellaneous electronics,,Pilferage,Truck stop/Gas station,No additional details,,,Consumer electronics
2020-Q3,Monday,8/3/20,,ON,", ON",CAN,Copper wire,,Cargo theft,Unspecified,No additional details,,,Metals
2020-Q3,Monday,8/3/20,,TX,", TX",USA,Shingles,,Cargo theft,Unspecified,No additional details,,,Construction & Industrial goods
2020-Q3,Wednesday,8/5/20,,CA,", CA",USA,Bottled water,,Pilferage,Truck stop/Gas station,No additional details,,,Food & Drinks
2020-Q3,Thursday,8/6/20,,PA,", PA",USA,Tractor/Trailer parts,,Cargo theft,Unspecified,No additional details,,,Automobile & Parts
2020-Q3,Friday,8/7/20,,GA,", GA",USA,Appliances,,Cargo theft,Unspecified,No additional details,,,Household & Appliances
2020-Q3,Saturday,8/8/20,,NY,", NY",USA,Mixed cargo,,Pilferage,Truck stop/Gas station,No additional details,,,Mixed cargo
2020-Q3,Saturday,8/8/20,,GA,", GA",USA,Gas grills,,Cargo theft,Unspecified,No additional details,,,Household & Appliances
2020-Q3,Sunday,8/9/20,Hutchins,TX,"Hutchins, TX",USA,LG Dryers,,Cargo theft,Secure yard,BNE,,,Household & Appliances
2020-Q3,Sunday,8/9/20,Pensacola,FL,"Pensacola, FL",USA,Copper Reels,140000,Pilferage,WH yard/parking,Fictitious pickup,,Early AM,Metals
2020-Q3,Sunday,8/9/20,,FL,", FL",USA,Bare copper,,Cargo theft,Warehouse,"9 reels (38,000 lbs)",,,Metals
2020-Q3,Sunday,8/9/20,,NJ,", NJ",USA,Disinfectant,,Cargo theft,Unspecified,No additional details,,,"Cleaning, Plastic, & Paper"
2020-Q3,Sunday,8/9/20,,NJ,", NJ",USA,Nitrile globes,,Pilferage,Truck stop/Gas station,No additional details,,,Pharma & Medical supplies
2020-Q3,Sunday,8/9/20,,CA,", CA",USA,Beans,,Cargo theft,Unspecified,No additional details,,,Food & Drinks
2020-Q3,Sunday,8/9/20,,TX,", TX",USA,Dryers,,Pilferage,Truck stop/Gas station,No additional details,,,Household & Appliances
2020-Q3,Monday,8/10/20,,NJ,", NJ",USA,Appliances,,Cargo theft,Unspecified,No additional details,,,Household & Appliances
2020-Q3,Monday,8/10/20,,ON,", ON",CAN,Televisions,,Cargo theft,Unspecified,No additional details,,,Consumer electronics
2020-Q3,Tuesday,8/11/20,,IL,", IL",USA,Appliances,,Cargo theft,Roadside,Hijacking,,,Household & Appliances
2020-Q3,Tuesday,8/11/20,,KS,", KS",USA,Detergent,,Pilferage,Truck stop/Gas station,No additional details,,,"Cleaning, Plastic, & Paper"
2020-Q3,Wednesday,8/12/20,,TX,", TX",USA,Shingles,,Cargo theft,Unspecified,No additional details,,,Construction & Industrial goods
2020-Q3,Wednesday,8/12/20,,CT,", CT",USA,Televisions,,Pilferage,Truck stop/Gas station,No additional details,,,Consumer electronics
2020-Q3,Thursday,8/13/20,,CA,", CA",USA,Detergent,,Pilferage,Truck stop/Gas station,No additional details,,,"Cleaning, Plastic, & Paper"
2020-Q3,Thursday,8/13/20,,VA,", VA",USA,Mixed cargo,,Pilferage,Truck stop/Gas station,No additional details,,,Mixed cargo
2020-Q3,Thursday,8/13/20,,MI,", MI",USA,Bottled water,,Cargo theft,Unspecified,No additional details,,,Food & Drinks
2020-Q3,Thursday,8/13/20,,VA,", VA",USA,Household goods,,Cargo theft,Unspecified,No additional details,,,Household & Appliances
2020-Q3,Thursday,8/14/20,El Paso,TX,"El Paso, TX",USA,Mixed goods,,Cargo theft,Truck stop/Gas station,Said he sold his trailor in Mexico,,Early AM,Mixed cargo
2020-Q3,Friday,8/14/20,,LA,", LA",USA,Seamless pipe,,Cargo theft,Unspecified,No additional details,,,Construction & Industrial goods
2020-Q3,Friday,8/14/20,,AL,", AL",USA,Toilet paper,,Pilferage,Truck stop/Gas station,No additional details,,,"Cleaning, Plastic, & Paper"
2020-Q3,Sunday,8/16/20,,FL,", FL",USA,Mixed cargo,,Pilferage,Truck stop/Gas station,No additional details,,,Mixed cargo
2020-Q3,Sunday,8/16/20,,MS,", MS",USA,Welding equipment,,Cargo theft,Unspecified,No additional details,,,Construction & Industrial goods
2020-Q3,Monday,8/17/20,,TX,", TX",USA,Mixed cargo,,Pilferage,Truck stop/Gas station,No additional details,,,Mixed cargo
2020-Q3,Monday,8/17/20,,VA,", VA",USA,Household goods,,Pilferage,Truck stop/Gas station,No additional details,,,Household & Appliances
2020-Q3,Tuesday,8/18/20,,CO,", CO",USA,Phone accessories,,Cargo theft,Origin/DC,Fictitious pickup,,,Merchandise
2020-Q3,Tuesday,8/18/20,,GA,", GA",USA,Sporting goods,,Pilferage,Truck stop/Gas station,No additional details,,,Merchandise
2020-Q3,Thursday,8/20/20,,IL,", IL",USA,Athletic wear,,Pilferage,Truck stop/Gas station,No additional details,,,Apparel
2020-Q3,Friday,8/21/20,Monee,IL,"Monee, IL",USA,Apparel,,Pilferage,Truck stop/Gas station,Breaking and Entering ,,Early AM,Apparel
2020-Q3,Friday,8/21/20,,NC,", NC",USA,Wood crates,,Cargo theft,Unspecified,No additional details,,,Construction & Industrial goods
2020-Q3,Saturday,8/22/20,,UT,", UT",USA,Computers/Laptops,,Pilferage,Truck stop/Gas station,No additional details,,,Consumer electronics
2020-Q3,Saturday,8/22/20,,TX,", TX",USA,Consumer electronics,,Cargo theft,Roadside,Hijacking,,,Consumer electronics
2020-Q3,Saturday,8/22/20,,FL,", FL",USA,Cosmetics,,Cargo theft,Unspecified,No additional details,,,Beauty & Personal Care
2020-Q3,Sunday,8/23/20,Dallas,TX,"Dallas, TX",USA,Consumer electronics,,Cargo theft,Truck stop/Gas station,Armed Robbery,,,Consumer electronics
2020-Q3,Sunday,8/23/20,Chicago,IL,"Chicago, IL",USA,Mixed goods,,Cargo theft,Secure yard,No additional details,,Early AM,Mixed cargo
2020-Q3,Sunday,8/23/20,,AL,", AL",USA,Detergent,,Pilferage,Truck stop/Gas station,No additional details,,,"Cleaning, Plastic, & Paper"
2020-Q3,Sunday,8/23/20,,NJ,", NJ",USA,Mixed cargo,,Cargo theft,Warehouse,No additional details,,,Mixed cargo
2020-Q3,Sunday,8/23/20,,FL,", FL",USA,Personal care,,Cargo theft,Unspecified,No additional details,,,Beauty & Personal Care
2020-Q3,Tuesday,8/25/20,,AL,", AL",USA,"OTC, Rx, Controlled substances",,Cargo theft,Roadside,Last-Mile Courier,,,Pharma & Medical supplies
2020-Q3,Tuesday,8/25/20,,GA,", GA",USA,Cigarettes,,Cargo theft,Roadside,Last-Mile Courier,,,Tobacco & Alcohol
2020-Q3,Tuesday,8/25/20,,TX,", TX",USA,Shingles,,Pilferage,Truck stop/Gas station,No additional details,,,Construction & Industrial goods
2020-Q3,Friday,8/28/20,,CA,", CA",USA,Art supplies,,Cargo theft,Unspecified,No additional details,,,Merchandise
2020-Q3,Friday,8/28/20,,FL,", FL",USA,Mixed cargo,,Pilferage,Truck stop/Gas station,No additional details,,,Mixed cargo
2020-Q3,Friday,8/28/20,,TX,", TX",USA,Vacuum cleaners,,Cargo theft,Unspecified,No additional details,,,Household & Appliances
2020-Q3,Sunday,8/30/20,Hutchins,TX,"Hutchins, TX",USA,Tires,47000,Cargo theft,Secure yard,423 Langton rd,,,Automobile & Parts
2020-Q3,Sunday,8/30/20,,TN,", TN",USA,Soft drinks,,Cargo theft,Unspecified,No additional details,,,Food & Drinks
2020-Q3,Sunday,8/30/20,,TX,", TX",USA,Tires,,Cargo theft,Unspecified,17 & 19 inch,,,Automobile & Parts
2020-Q3,Tuesday,9/1/20,,TX,", TX",USA,Tools,,Pilferage,Truck stop/Gas station,No additional details,,,Construction & Industrial goods
2020-Q3,Tuesday,9/1/20,,ON,", ON",CAN,Mixed cargo,,Pilferage,Truck stop/Gas station,No additional details,,,Mixed cargo
2020-Q3,Wednesday,9/2/20,,AB,", AB",CAN,Hot tubs,,Cargo theft,Origin/DC,Fictitious pickup,,,Household & Appliances
